segmentid,index,KO,SP
I-00-SU-01-0001,1,10분전에 Juan한테 전화했어.,Llamé a Juan hace 10 minutos.
I-00-SU-01-0002,2,어제 우산 가져갔어?,¿Llevaste el paraguas ayer?
I-00-SU-01-0003,3,"A: 너 그를 초대했어? 아니면 그녀를 초대했어?
B: 그를 초대했어. ","A: ¿A quién invistaste a él o ella? 
B: Lo invité a él. "
I-00-SU-01-0004,4,어제 Eloy랑 María를 봤다. Eloy는 매우 행복해보였지만 María는 그렇지 않았다.,"Vi a Eloy y a María ayer. Él estaba muy contento, pero ella no."
I-00-SU-01-0005,5,아이들은 영화관이 아니라 공원에 갔다.,"Los niños no fueron al cine, sino al parque. "
I-00-SU-01-0006,6,부모들은 항상 그들의 아이를 사랑하는건 아니다.,Los padres no siempre aman a sus hijos.
I-00-SU-01-0007,7,Juana는 시험에 합격하지 않았다.,JUANA no aprobó el examen.
I-00-SU-01-0008,8,많은 사람들이 그 회사에는 남자만 일한다고 생각하지만 Julia가 그곳에서 일하고 있다. 나는 그걸 듣고 매우 놀랐다.,"Mucha gente piensa que solo trabajan hombres, pero Julia trabaja allí. Me sorprendí mucho al escucharlo. "
I-00-SU-01-0009,9,Pedro와 Martina는 부부이다. 늘 Pedro가 Martina를 때렸는데 어제 처음으로 Martina가 그를 때렸다.,"Pedro y Martina son esposos. Siempre Pedro peleaba a su mujer pero ayer por primera vez, Martina lo peleó. "
I-00-SU-01-0010,10,"A: 어제 누가 너한테 전화했는지 알아? 
B: Juan.","A: ¿Sabes quién te llamó ayer? 
B: Juan. "
I-00-SU-01-0011,11,"A: 전쟁 어떻게 됐어? 
B: 전쟁이 시작됐어. ","A: ¿Qué ha pasado con la guerra?
B: La guerra ha empezado. "
I-00-SU-01-0012,12,"A: 뭐가 시작했어? 
B: 경기가 시작됐어. ","A: ¿Qué empezó?
B: Empezó el partido. "
I-00-SU-01-0013,13,"A: 전쟁 어떻게 됐어? 
B: 시작됐어. ","A: ¿Qué pasó con la guerra?
B: Empezó. "
I-00-SU-01-0014,14,"A: 전쟁 어떻게 됐어? 
B: 10일전에 시작됐어. ","A: ¿Qué pasó con la guerra?
B: Empezó hace 10 días. "
I-00-SU-01-0015,15,"A: 뭐가 시작했어? 
B: 경기. ","A: ¿Qué empezó?
B: El partido. "
I-00-SU-01-0016,16,"A: 누가 너한테 전화했어?
B: 후안이 전화했어. 
A: 왜?
B: 어제 있었던 회의에 대해 얘기하려고","A: ¿Quién te llamó?
B: Me llamó Juan. 
A: ¿Para qué?
B: Para hablar de la reunión que tuvimos ayer. "
I-00-SU-01-0017,17,Eloy와 Alicia는 아주 친한 친구이다. 항상 공부를 같이 하고 커피를 같이 마시고 테니스를 같이 친다. 우리는 그들이 연인일거라고 말하지만 걔네는 항상 아니라고 말한다.,"Eloy y Alicia son los mejores amigos; siempre estudian, toman café y juegan al tenis juntos. Decimos que serán novios pero ellos siempre dicen que no. "
I-00-SU-01-0018,18,나는 María에 대해 Pedro랑 얘기를 하고 있었거든? 근데 갑자기 María가 우리가 있던 방으로 들어온거야. 그리고 나한테 Pedro랑 누구에 대해 얘기하고 있었냐고 물었어. 내가 걔한테 답하고 싶었는데 나 대신 Juan이 „상관하지마“라고 말했어.,"Estaba hablando de María con Pedro. De repente ella entró a la sala donde estabámos y me preguntó de qué hablaba con él. Quería responderle pero él contestó en mi lugar ""No te importa"". "
I-00-SU-01-0019,19,"A: 언제부터 Pedro가 Alicia랑 일했나요?
B: 몰라요. 아마도.. 20살때부터요
A: 누가 20살때부터요?
B: Pedro요.","A: ¿Desde cuándo ha trabajado Pedro con Alicia?
B: No sé.. quizás.. desde que tenía 20 años. 
A: ¿Quién?
B: Pedro. "
I-00-SU-01-0020,20,"A: 누구세요?
B: 나야. ","A: ¿Quién eres?
B: Soy yo. "
I-00-SU-01-0021,21,"A: 누구였나요?
B: 저였어요. ","A:¿Quién ha sido?
B: He sido yo. "
I-00-SU-01-0022,22,"A: 어디 보자… 후안이랑 내가 뭘 사야하지?
B: 책 한권이랑 카펫을 하나 사야해. ","A: A ver, ¿qué compramos Juan y yo?
B: Compráis un libro y una carpeta. "
I-00-SU-01-0023,23,"A: 어디 보자… Juan이랑 내가 뭘 사야하지?
B: Juan은 자켓을 하나 사야하고 너는 셔츠를 하나 사야해. ","A: A ver, ¿qué compramos Juan y yo?
B: Él compra una chaqueta y tú compras una camiseta. "
I-00-SU-01-0024,24,"지금 너희들한테 뭘 공부해야할지 말해줄게. Alicia는 수학을 공부해야하고 Pedro는 한국어를, Sofía는 영어를 해야돼. 알겠지? ","Bueno, a ver, os digo qué tenéis que estudiar. Alicia tiene que estudiar matemáticas, Pedro coreano y Sofía inglés. ¿Vale?"
