sentenceid,index,KO,SP,KO_word,SP_word,direction
L-00-CA-01-0001,1,그녀의 시선은 늘 그를 향해 있다.,Siempre pone la mirada en él.,시선,mirada,K > S
L-00-CA-01-0002,2,그녀는 그에게 눈길조차 주지 않았다.,Nunca fija la mirada en él.,눈길,mirada,K > S
L-00-CA-01-0003,3,한국어와 스페인어의 자음의 개수는 다르다.,El número de consonantes del coreano es diferente al del español.,자음,consonante,K > S
L-00-CA-01-0004,4,한국어와 스페인어의 닿소리의 개수는 다르다.,El número de consonantes del coreano es diferente al del español.,닿소리,consonante,K > S
L-00-CA-01-0005,5,계란 알레르기가 있으신 분 계신가요?,¿Hay alguien que sea alérgico a los huevos?,계란,huevo,K > S
L-00-CA-01-0006,6,달걀을 다섯개 사오렴.,Compra cinco huevos.,달걀,huevo,K > S
L-00-CA-01-0007,7,저는 그 숙어의 의미를 모르겠어요.,No sé el significado de ese modismo.,의미,significado,K > S
L-00-CA-01-0008,8,저는 교수님의 말 뜻을 모르겠어요.,No sé el significado de lo que ha dicho el profesor.,뜻,significado,K > S
L-00-CA-01-0009,9,벽의 폭이 충분하지 않은것 같아요.,Parece que la anchura de la pared no es suficiente.,폭,anchura,K > S
L-00-CA-01-0010,10,도로의 너비는 10m 입니다.,La carretera tiene diez metros de anchura.,너비,anchura,K > S
L-00-CA-01-0011,11,저쪽에서 신장을 재세요.,Mide la altura por ahí.,신장,altura,K > S
L-00-CA-01-0012,12,앉은 키도 재야하나요?,¿Se tiene que medir la altura sobre el asiento?,키,altura,K > S
L-00-CA-01-0013,13,한국에서 차량은 우측 통행입니다.,En Corea se conduce por la derecha.,우측,derecha,K > S
L-00-CA-01-0014,14,교차로에서 오른쪽으로 꺾으세요.,Gira a la derecha en el cruce.,오른쪽,derecha,K > S
L-00-CA-01-0015,15,체중이 많이 줄었으면 병원에 가보세요.,Ve al médico si has perdido mucho peso.,체중,peso,K > S
L-00-CA-01-0016,16,몸무게가 많이 늘어서 작년에 샀던 옷이 안맞아.,Ahora no me queda bien la ropa que compré el año pasado porque he ganado mucho peso.,몸무게,peso,K > S
L-00-CA-01-0017,17,학교 앞 도로에서 공사가 진행중입니다.,Están de obra en la calle delante del colegio.,도로,calle,K > S
L-00-CA-01-0018,18,집 앞 길에서 큰 사고가 났어요.,Hubo un gran accidente en la calle delante de mi casa.,길,calle,K > S
L-00-CA-01-0019,19,올바른 언어의 사용은 매우 중요합니다.,Es muy importante el uso correcto de lengua.,언어,lengua,K > S
L-00-CA-01-0020,20,상황에 적합한 말의 사용은 매우 중요합니다.,Es muy importante el uso correcto de lengua adecuado a la situación.,말,lengua,K > S
L-00-CA-02-0021,21,해변가에 가면 우선 파라솔을 대여하자.,Vamos a alquilar un parasol cuando vamos a la playa.,파라솔,parasol,K > S
L-00-CA-02-0022,22,마드리드에는 유명한 츄로스 카페가 있어요.,"En Madrid, hay una cafetería de churros muy conocida. ",츄로스,churros,K > S
L-00-CA-02-0023,23,내일 데킬라 한잔 할까?,¿Mañana tomamos una tequila?,데킬라,tequila,K > S
L-00-CA-02-0024,24,모니터를 크고 좋은걸 사고 싶어요.,Quiero comprar una pantalla grande y buena.,모니터,pantalla,K > S
L-00-CA-02-0025,25,내 키보드가 고장나서 지금 일을 할수 없어요.,"Como mi teclado no funciona, ahora no puedo trabajar.",키보드,teclado,K > S
L-00-CA-02-0026,26,차 키 좀 가져와봐.,Trae la llave del coche.,키,llave,K > S
L-00-CA-02-0027,27,너 취미들이 뭐가 있니?,¿Qué hobbies tienes?,취미,hobby,S > K
L-00-CA-02-0028,28,그는 넷 상에서의 언어 사용에 대해 연구합니다.,Él investiga el uso del lenguaje en el ciberespacio.,넷 상,ciberespacio,S > K
L-00-CA-02-0029,29,그녀는 수다떠는걸 진짜 좋아해요.,A ella le encanta chatear.,수다 떠는 것,chatear,S > K
L-00-CA-02-0030,30,네 청바지 진짜 예쁘다.,Tu bluyín es muy bonito.,청바지,bluyín,S > K
L-00-CA-02-0031,31,그 마트의 가판대에서 파는 토마토가 진짜 맛있었어.,Los tomates que se vendían en el estand de ese mercado eran buenísimo.,가판대,estand,S > K
L-00-CA-02-0032,32,비누말고 샴푸로 머리를 감으렴.,No te laves el pelo con jabón sino con champú.,샴푸,chumpú,ambos
L-00-CA-02-0033,33,빵집에서 일하다가 나는 가수로 캐스팅 되었어요.,Hice un casting para cantante cuando trabajaba en una panadería.,캐스팅,casting,ambos
L-00-CA-02-0034,34,손흥민은 현재 EPL에서 골 득점 랭킹 5위에요.,Heungmin Son está en el quinto en el ranquin en la primera liga de Inglaterra.,랭킹,ranquin,ambos
L-00-CA-02-0035,35,이 카페는 무료 와이파이를 제공하지 않아요.,Esta cafetería no ofrece wifi gratis.,와이파이,wifi,ambos
L-00-CA-02-0036,36,대학 생활의 꽃은 동아리 활동이라고 생각해.,Lo más importante de la vida universitaria son las actividades del club.,동아리,club,ambos
L-00-CA-02-0037,37,나는 졸업하고 마케팅 관련 일을 하고 싶어요.,Quiero trabajar en el sector del marketing después de graduarme.,마케팅,marketing,ambos
L-00-CA-02-0038,38,허위정보를 쓰는게 블로거들의 문제에요.,El problema de los blogueros es escribir información falsa.,블로거,bloguero,ambos
L-00-CA-02-0039,39,고려대학교 캠퍼스는 진짜 예뻐요.,El campus de la universidad de Corea es muy bonito.,캠퍼스,campus,ambos
L-00-CA-02-0040,40,오늘 이교수님 수업시간에 깜짝 테스트를 봤어.,Hoy hemos tenido un test sorpresa en la clase de Lee.,테스트,test,ambos
L-00-CA-02-0041,41,요즘 많은 젊은이들이 피어싱과 문신을 합니다.,Muchos jóvenes ahora llevan piercings y tatuaje.,피어싱,piercing,ambos
L-00-CA-02-0042,42,인플레이션은 정부가 해결해야할 가장 큰 과제입니다.,La inflación es un problema muy grave que el gobierno tiene que solucionar.,인플레이션,estanflación,ambos
L-00-CA-02-0043,43,너 스파게티 좋아하니?,¿Te gustan los espaguetis?,스파게티,espaguetis,ambos
L-00-CA-02-0044,44,예전부터 파파라치로 인해 연예인들이 겪는 스트레스가 많았어요.,Desde hace mucho tiempo muchos artistas han tenido mucho estrés por los paparazzis.,파파라치,paparazzis,ambos
L-00-CA-02-0045,45,공부하면서 아르바이트까지 하는건 나에게 너무 힘들어요.,Me cuesta mucho estudiar y trabajar a tiempo parcial.,아르바이트,trabajo a tiempo parcial,K > S
L-00-CA-02-0046,46,할로윈은 미국의 문화이지만 현재 한국과 스페인 모두에서 사람들이 즐깁니다.,"Aunque halloween viene de la cultura estadosunidense, hoy en día lo celebran muchas personas en ambos países, en Corea y en España.",할로윈,halloween,ambos
L-00-CA-02-0047,47,그 카페는 카페라떼가 진짜 맛있어.,El café con leche de esa cafetería es buenísimo.,카페라떼,café con leche,K > S
L-00-CA-02-0048,48,내 아내는 내가 만든 까르보나라를 진짜 좋아해요.,A mi mujer le gusta mucho la carbonara preparada por mí.,까르보나라,carbonara,ambos
L-00-CA-02-0049,49,마네킹의 옷을 사고 싶어요.,Quiero comprar la ropa del maniquí.,마네킹,maniquí,ambos
L-00-CA-02-0050,50,소프트웨어 개발자들은 급여가 높습니다.,El desarrollador de software cobra mucho sueldo.,소프트웨어,software,ambos
L-00-DO-01-0051,51,우리 할매가 전구지 요리를 해주신디야.,Mi abuela me prepara un plato de cebollino.,전구지,cebollino,K > S
L-00-DO-01-0052,52,바람 마이 부니께 거 공가놔라,Como hace mucho viento fijálo fuerte.,공가놔라,fija,K > S
L-00-DO-01-0053,53,틀린 문제에는 꼽표를 해놨대이,Puse cruces en las preguntas incorrectas.,꼽표,cruces,K > S
L-00-DO-01-0054,54,나 아래께 학교 안갔디,Anteayer no fui al colegio.,아래께,anteayer,K > S
L-00-DO-01-0055,55,누가 내 체육복 감아갔노!!!,¿Quién ha robado mi ropa deportiva?,감아갔노,robado,K > S
L-00-DO-01-0056,56,하매 세시가?,¿Ya son las tres?,하매,ya,K > S
L-00-DO-01-0057,57,"워메 시장시런거, 고것도 말이라고 한당까?",¡Qué idiota! ¿De qué color era el caballo blanco de Santiago?,시장시런,idiota,K > S
L-00-DO-01-0058,58,"으이구 징한 것, 결국 그걸 버려부렸냐..",¡Qué cabezota! ¿Al final lo tiraste?,징한 것,tenaz,K > S
L-00-DO-01-0059,59,커피를 샀더니 살한톨 맨키로 밖에 안 주대?,¿Compré café y solo me dieron el tamaño de un grano de arroz?,맨키로,como,K > S
