segmentid,index,ref,KO,SP
M-IS-NO-01-0001,1,A,아이들은 밥을 먹는데 많은 시간이 걸린다.,Los niños tardan mucho en comer.
,,B,아이들은 먹는데 많은 시간이 필요하다.,Los niños necesitan mucho tiempo para comer.
M-IS-NO-01-0002,2,A,그 사람은 오직 졸업장을 따는 데에만 목적이 있다.,Su único propósito es obtener un diploma.
,,B,그 사람은 오직 졸업장이 목표이다.,Esa persona solo tiene el objetivo de obtener un diploma.
M-IS-NO-01-0003,3,A,머리 아픈데 먹는 약이 있나요?,¿Tiene algún medicamento para el dolor de cabeza?
,,B,머리 아플 때를 위해 먹는 약이 있나요?,¿Tiene algún medicamento en caso de dolor de cabeza?
,,,,
M-IS-NO-01-0004,4,A,사람들은 항상 비싸고 좋은 것만 원한다.,La gente siempre quiere solo cosas caras y buenas.
,,B,사람들은 항상 비싸고 좋은 것을 원한다.,La gente siempre quiere solo algo caro y bueno.
M-IS-NO-01-0005,5,A,그 남자는 고향을 떠난지가 오래되었다.,El hombre hace tiempo que dejó su ciudad natal.
,,B,그 남자는 오래 전에 고향을 떠났다.,El hombre dejó su ciudad natal hace mucho tiempo.
M-IS-NO-01-0006,6,A,네가 그렇게 말하니 기운이 난다.,"Como dices eso, me da fuerza. "
,,B,네가 그렇게 말하면 기운이 난다.,"Cuando dices eso, me da fuerza."
M-IS-NO-01-0007,7,A,우리 선생님이 그런 말을 할 리가 없다.,De ninguna manera mi profesor diría eso.
,,B,우리 선생님이 그런 말을 안했을 것이다.,Mi profesor no diría eso.
M-IS-NO-01-0008,8,A,연습한 대로 하면 실수를 하지 않을거야.,Si lo haces tal y como lo has practicado no cometerás ningún error
,,B,연습한걸 해서 실수를 하지 않을거야.,"Si haces lo que practicas, no cometes ningún error."
M-IS-NO-01-0009,9,A,저는 주어진 상황에서 할 만큼 했어요.,Hice todo lo que pude dadas las circunstancias.
,,B,저는 주어진 상황에서 할 수 있는걸 했어요.,Hice todo lo que pude en la situación dada.
M-IS-NO-01-0010,10,A,사람들에게 나누어 줄 만큼 나누어 주었다.,Di lo suficiente para que todos tuvieran.
,,B,사람들과 나눌 수 있게 충분히 나누어 주었다.,Se distribuyó todo para que todos pudieran compartir.
M-IS-NO-01-0011,11,A,네가 그렇게 말하니 감사할 따름이다.,Te agradezco de que lo hayas dicho.
,,B,네가 그렇게 말하니 감사하다.,Gracias a que tú me lo has dicho.
M-IS-NO-01-0012,12,A,그저 당신을 만나러 왔을 따름입니다.,Solo vine a verte.
,,B,당신을 만나러 왔습니다.,Vine a verte.
M-IS-NO-01-0013,13,A,그가 연구하는 것은 언어학 뿐이다.,Lo que estudia es solo lingüística.
,,B,그는 언어학만 연구한다.,Todo lo que estudia es lingüística.
M-IS-NO-01-0014,14,A,종이 한 장만 줄래?,¿Puedes darme un pedazo de papel?
,,B,종이 하나 줄래?,¿Puedes darme un papel?
M-IS-NO-01-0015,15,A,신발 세켤레를 사려고요.,Quiero comprar tres pares de zapatos.
,,B,신발 세쌍을 사려고요.,Quiero comprar tres zapatos.
M-IS-NO-01-0016,16,A,그는 집을 다섯채나 소유하고 있어요.,Él tiene cinco pisos.
,,B,그는 집을 다섯개 소유하고 있어요.,Él tiene cinco casas.
M-IS-NO-01-0017,17,A,그는 맥주를 다섯병이나 마셨어요.,Ya ha bebido cinco botellas de cerveza.
,,B,그는 맥주를 다섯개 마셨어요.,Ya ha bebido cinco cervezas.
M-IS-NO-01-0018,18,A,커피 두잔 마실래요?,¿Tomamos dos cafés?
,,B,커피 두컵 마실래요?,¿Tomamos dos tazas de café?
