segmentid,index,KO,SP
M-IS-PR-01-0111,111,나는 걷고 그는 뛴다.,Yo camino y él corre.
M-IS-PR-01-0112,112,남편은 그림을 그리고 있다.,Mi marido está pintando.
M-IS-PR-01-0113,113,"이 상황에서 웃지, 그럼 울겠니?",En esta situación me río por no llorar.
M-IS-PR-01-0114,114,그는 뛰지 않고 있다.,Él no está corriendo.
M-IS-PR-01-0115,115,나는 우는 것을 싫어해.,No me gusta llorar.
M-IS-PR-01-0116,116,그는 요리하는데 30분이 필요하다고 한다.,Dice que necesita 30 minutos para hacer / preparar la comida.
M-IS-PR-01-0117,117,내가 텔레비전을 보고 있는데 전화벨이 울렸다.,Sonó el teléfono cuando veía la televisión.
M-IS-PR-01-0118,118,오랜만에 만났는데 얘기나 좀 합시다.,"Como ha pasado tanto tiempo desde la última vez que nos vimos, vamos a hablar. "
M-IS-PR-01-0119,119,뛰는 아이가 제 아들입니다.,Ese (chico) que corre / esta corriendo es mi hijo
M-IS-PR-01-0120,120,내가 도착하면 그 아이는 자고 있겠구나.,"Cuando yo llegue a casa, mi hijo dormirá."
M-IS-PR-01-0121,121,나는 내일은 공부를 3시간 하겠다.,Mañana estudio 3 horas.
M-IS-PR-01-0122,122,그건 개나 소나 할 수 있겠다.,Esto lo puede hacer cualquiera.
M-IS-PR-01-0123,123,지금 회의를 시작해도 되겠습니까?,¿Podríamos empezar la reunión ahora?
M-IS-PR-01-0124,124,별 희한한 사람을 다 보겠네.,¡Qué persona tan extraña!
M-IS-PR-01-0125,125,그는 음악을 들으며 공부한다.,Él estudia escuchando música.
M-IS-PR-01-0126,126,그는 시인이며 교수이다.,Él es poeta y al mismo tiempo profesor.
M-IS-PR-01-0127,127,그렇게 뛰니 무릎이 아프지.,Corre tanto que le duelen las rodillas.
M-IS-PR-01-0128,128,밥을 다 먹고 나니 배가 아프기 시작했다.,"Nada más comer, empecé a tener dolor de estómago // empezó a dolorme el estómago. "
M-IS-PR-01-0129,129,집에서 기다릴 아이를 생각하며 빨리 일을 끝냈다.,"Pensando en el niño esperando en casa, terminé el trabajo rápidamente."
M-IS-PR-01-0130,130,오늘은 그림을 다 그릴 것 같다.,Hoy acabaré de pintar.
M-IS-PR-01-0131,131,지금 회의를 시작하시겠어요?,¿Va a empezar la reunión ahora?
M-IS-PR-01-0132,132,핸드폰을 좀 끄시겠어요?,¿Podría apagar el móvil?
M-IS-PR-01-0133,133,한시간을 걸어 시장에 도착했다.,Caminé una hora y llegué al mercado.
M-IS-PR-01-0134,134,밥을 많이 먹어 탈이 났다.,Comió tanto que se siente mal.
M-IS-PR-01-0135,135,그는 나의 짐을 들어 주었다.,Él levantó mi carga.
M-IS-PR-01-0136,136,나는 지금 밥 먹어.,Ahora estoy comiendo.
M-IS-PR-01-0137,137,좀 잘 그려라.,"Pinta bien, por favor."
M-IS-PR-01-0138,138,참 가엾어라.,Me da mucha pena.
M-IS-PR-01-0139,139,아빠는 나에게 핸드폰을 사주었다.,Mi padre me compró un móvil.
M-IS-PR-01-0140,140,꽃이 활짝 피었구나.,Muchas flores han florecido.
M-IS-PR-01-0141,141,예쁜 꽃을 샀네.,Compró las flores bonitas.
M-IS-PR-01-0142,142,지금 이대로만 하면 대학은 붙었다.,"Si sigues así, apruebas la universidad."
M-IS-PR-01-0143,143,너 하는꼴보니 내일 엄마한테 죽었다.,"Viendo lo que estás haciendo, mañana tu madre te va a matar."
M-IS-PR-01-0144,144,너 계속 그렇게 깐족대다가 벌써 한대 맞았다,"Si sigues hablando así, te voy a dar"
M-IS-PR-01-0145,145,너 그렇게 말하면 엄마한테 혼난다.,"Si hablas así, tu va a reprender/reñir. "
M-IS-PR-02-0146,146,나는 오늘 공부 안한다.,Hoy no estudio.
M-IS-PR-02-0147,147,엄마는 나에게 책을 안사줬다.,Mi madre no me compró libros.
M-IS-PR-02-0148,148,엄마는 나에게 책을 사주지 않았다.,Mi madre no me compró libros.
M-IS-PR-02-0149,149,그는 술을 마셔 운전을 못한다.,"Como toma mucho alcohol, no puede conducir."
M-IS-PR-02-0150,150,그는 술을 마셔 운전을 안한다.,"Como toma mucho alcohol, no conduce. "
M-IS-PR-02-0151,151,내 피부는 그렇게 하얗지 않다.,Mi piel no es tan blanca.
M-IS-PR-02-0152,152,내 피부는 그렇게 안하얗다.,Mi piel no es tan blanca.
M-IS-PR-02-0153,153,그들도 역시 오지 않는다.,Ellos tampoco vienen.
M-IS-PR-02-0154,154,나는 미국에 한번도 간적이 없다.,Nunca he viajado a Estados Unidos.
M-IS-PR-02-0155,155,네가 한 시험은 좋지도 않지만 나쁘지도 않다.,"El examen que hiciste no fue bueno, pero tampoco malo."
M-IS-PR-02-0156,156,그는 이쪽으로도 저쪽으로도 갈 수 없었다.,No pudo ir ni a un lado ni a otro.
M-IS-PR-02-0157,157,너는 그것을 상상조차 못할 것이다.,Tú no puedes ni imaginarlo
M-IS-PR-02-0158,158,너희들 중 아무도 시험을 치지 않았구나.,Ninguno de vosotros hizo el examen.
M-IS-PR-02-0159,159,너 그림을 그렸니?,¿Has pintado este dibujo?
M-IS-PR-02-0160,160,너 그림을 그렸어?,¿Has pintado tú este dibujo?
M-IS-PR-02-0161,161,걔가 그 그림을 그렸을까?,¿Habrá pintado él él este dibujo?
M-IS-PR-02-0162,162,너 그림 그렸나?,¿Pintaste el dibujo?
M-IS-PR-02-0163,163,너 그림 그리니?,¿Pintas el dibujo?
M-IS-PR-02-0164,164,너 그림 그려?,¿Pintas el dibujo?
M-IS-PR-02-0165,165,나 지금 그림 그릴까?,¿Ahora pinto dibujos?
M-IS-PR-02-0166,166,걔가 너에게 그렇게 말했더냐?,¿Él te dijo eso?
M-IS-PR-02-0167,167,걔가 그 그림을 그렸던가?,¿Habrá pintado él este dibujo? ¿no?
M-IS-PR-03-0168,168,나는 스페인어와 한국어를 말해요.,Hablo español y coreano.
M-IS-PR-03-0169,169,너 어디 사니?,¿Dónde vives?
M-IS-PR-03-0170,170,네 아버지 뭐 드시니?,¿Qué come tu padre?
M-IS-PR-03-0171,171,아르헨티나에서는 스페인어를 말합니다.,En Argentina se habla español.
M-IS-PR-03-0172,172,매우 빨리 달립니다.,Corre muy rápido.
M-IS-PR-03-0173,173,어제 레알 마드리드에 대해 말했어요.,Ayer hablamos del Real Madrid.
M-IS-PR-03-0174,174,(우리는) 무엇에 대해 말할까요?,¿De qué hablamos?
M-IS-PR-03-0175,175,너희들 스페인어와 영어 배우니?,¿Aprendéis español e inglés?
M-IS-PR-03-0176,176,당신들은 여기 앉아야합니다.,Ustedes tienen que sentarse aquí.
M-IS-PR-03-0177,177,술을 마신 후 운전을 해서는 안됩니다.,No se debe conducir después de tomar alcohol.
M-IS-PR-03-0178,178,그들은 대학생이에요.,Ellos son estudiantes universitarios.
