sentenceid,index,KO,SP,KO_word,SP_word
M-FO-DE-01-0001,1,그는 눈치가 없다.,Él tiene una percepción lenta.,눈치,percepción
M-FO-DE-01-0002,2,그의 생각과 행동에는 모순이 있다.,Hay una contradicción entre su pensamiento y su comportamiento.,모순,contradicción
M-FO-DE-01-0003,3,기업들에게 비용의 절감은 매우 중요하다.,La reducción de costo es muy importante para las empresas.,절감,reducción
M-FO-DE-01-0004,4,익명화가 좋은지 모르겠어요.,No sé si la anonimización es buena.,익명화,anonimización
M-FO-DE-01-0005,5,가난의 영속화/만성화는 매우 큰 문제이다.,La cronificación de la pobreza es un problema muy grave.,영속화,crinificación
M-FO-DE-01-0006,6,그 가게의 주인은 고객의 충성화에 대해 많은 고민을 하고 있습니다.,El dueño de la tienda está pensando mucho en la fidelización de clientes.,충성화,fidelización
M-FO-DE-01-0007,7,실업문제를 우선시하는 것이 필요합니다.,La priorización del problema de desempleo es necesaria.,우선시,priorización
M-FO-DE-01-0008,8,새로운 노동 개혁은 고용의 일시화를 피하기 위한 것입니다.,Con la nueva reforma laboral se pretende evitar la temporalización del empleo,일시화,temporalización
M-FO-DE-01-0009,9,그는 태양광 추적 시스템에 대해 많이 조사하고 있습니다.,Él investiga mucho los sistemas de seguimiento solar.,추적,seguimiento
M-FO-DE-01-0010,10,여성들의 힘이 강해지는 것은 스페인의 페미니즘이 실제로 추구하는 것입니다.,El empoderamiento femenino es lo que persigue actualmente el feminismo español.,힘이 강해지는 것,empoderamiento
M-FO-DE-01-0011,11,오늘 신문에서 대기오염에 관한 보도 기사를 볼 수 있다.,Se puede leer un reportaje sobre la contaminación atmosférica en el periódico de hoy.,오염,contaminación
M-FO-DE-01-0012,12,"대법원은 ""파업권을 행사하는 근로자를 직무를 수행하는 다른 근로자로 대체하는 사용자의 관행""은 파업권과 양립할 수 없다고 했다. ",El Tribunal Supremo aclara que el esquirolaje interno no es compatible con el derecho de huelga.,파업권을 행사하는 근로자를 직무를 수행하는 다른 근로자로 대체하는 사용자의 관행,esquirolaje
M-FO-DE-01-0013,13,나는 패션쇼에 한번 가보고 싶다.,Quiero visitar un desfile de moda.,쇼,desfile
M-FO-DE-01-0014,14,나는 와인 큰 병 하나를 사고 싶다.,Quiero comprar un botellón de vino.,큰 병,botellón
M-FO-DE-01-0015,15,두번째 위치에 있는 선수가 결국 큰 총성을 울렸고 승리했다.,El corredor en segunda posición dio un arreón final y ganó,큰 총성,arreón
M-FO-DE-01-0016,16,축제 날에 젊은이들이 큰 폭죽을 던졌다.,"El día de la fiesta, los jóvenes tiraron cohetones.",큰 폭죽,cohetones
M-FO-DE-01-0017,17,아마존에 방문하면 정말 굉장한 풍경들을 볼 수 있을거야.,"Cuando visites a Amazon, podrás ver espectáculos grandiosos. ",굉장한,gradioso
M-FO-DE-01-0018,18,고양이들은 그의 주인에게 머리를 부딪힌다.,Los gatos normalmente les dan cabezazos a sus dueños.,머리,cabezazo
M-FO-DE-01-0019,19,갑자기 그 남자아이는 책상을 쾅 쳤다.,"De repente, el chico dio un puñetazo en la mesa.",쾅 쳤다,dio un puñetazo
M-FO-DE-01-0020,20,정부는 공공자금조달에서 제외되는 의약품 리스트를 줄이기로 결정하였다.,El gobierno ha decidido reducir la lista del medicamentazo,공공자금조달에서 제외되는 의약품,medicamentazo
M-FO-DE-01-0021,21,정부는 전기 요금 인상에 대한 효과를 저지하려 노력한다.,El gobierno intenta contrarrestar los efectos de tarifazo electrónico.,요금 인상,tarifazo
M-FO-DE-01-0022,22,올해 우크라니아와 러시아 간 전쟁이 끝날 가능성은 많지 않다.,No hay muchas posibilidades de que termine la guerra entre Ucrania y Rusia este año.,가능성,posibilidades
M-FO-DE-01-0023,23,많은 학생들은 고용 가능성을 고려하여 그들의 전공을 선택한다.,Muchos estudiantes eligen sus carreras teniendo en cuanta la empleabilidad,고용 가능성,empleabilidad
M-FO-DE-01-0024,24,우리 사회에서 학생들이 상호문화주의와 다문화주의를 배우는 것은 필요하다.,"En nuestra sociedad, es necesario que los estudiantes aprendan interculturalidad y multiculturalidad.",상호문화주의,interculturalidad
M-FO-DE-01-0025,25,사진을 평가하는 기준 중 하나는 그 독창성이다.,Uno de los criterios para la puntuación de las fotografías es la originalidad,독창성,originalidad
M-FO-DE-01-0026,26,이 이야기는 그 고유성 때문에 채택되었습니다.,Eligieron este cuento principalmente por su originalidad.,고유성,originalidad
M-FO-DE-01-0027,27,슬픔은 우울증이나 정서불안과 같은 정신과 병리학 증상이 될수도 있다.,La tristeza puede ser un síntoma de patologías mentales como por ejemplo la depresión o la distimia,슬픔,tristeza
M-FO-DE-01-0028,28,지금 SNS는 리한나가 주연으로 연기한 장면의 섹시함으로 뜨겁다.,Ahora las redes arden con la torridez de las escenas protagonizadas por Rihanna.,섹시함,torridez
M-FO-DE-01-0029,29,우리 마을에는 아주 유명한 찻집이 있다.,"En mi barrio, hay una tetería muy famosa. ",찻집,tetería
M-FO-DE-01-0030,30,보통 선진국에는 문맹률이 많이 낮다.,Normalmente en los países desarrollados la tasa de anafabetismo es muy baja.,문맹률,anafabetismo
M-FO-DE-01-0031,31,페이스북이나 인스타그램과 같은 SNS에는 항상 그렇지 않은 착한 척(위선)이 넘쳐난다.,"En las redes sociales, especialmente en facebook e instagram, abunda el buenrollismo que no siempre es real",착한 척,buenrollismo
M-FO-DE-01-0032,32,불륜으로 인해 약혼 관계가 깨졌다.,Se ha roto el noviazgo por infidelidad.,불륜,infidelidad
M-FO-DE-01-0033,33,유명한 역사학자가 수업을 하기 때문에 이 수업은 매우 유명하다.,Esta clase es muy famosa porque la da / la imparte un historiador muy conocido,역사학자,historiador
M-FO-DE-01-0034,34,필기 할때 나는 많은 종류의 형광펜을 사용한다.,"Cuando tomo apuntes, utilizo muchos tipos de subrayadores. ",형광펜,subrayadores
M-FO-DE-01-0035,35,환경을 파괴하는 많은 공장들로 인해 강이 많이 오염되었다.,"Por culpa de muchas fábricas deforestadoras, el río se ha contaminado mucho. ",환경을 파괴하는,deforestadoras
