segmentid,index,한국어,스페인어,Note
M-TE-ST-01-0001,1,"[여자] 사무엘
몇 가지 물을 게 있다
넌 이 학교에 다닌 지 얼마 안 됐지?

[사무엘] 네, 4개월쯤 됐어요
전엔 산 에스테반에 다녔죠

[여자] 산 에스테반이면 그 붕괴된 학교 말이니?
진정하렴
괜찮아질 거다","[mujer] Samuel.
Tengo que hacerte unas preguntas.
No llevas mucho en esta escuela, ¿verdad?

[Samu] No, llegué hace cuatro meses.
Estudiaba en San Esteban antes.

[mujer] San Esteban, el colegio que se derrumbó.
Tranquilo.
Todo va a ir bien.",엘리트들 / Elites
M-TE-ST-01-0002,2,"- 사무!
- 왔어? - 
- 잘 지냈지?
안녕, 예쁜이
미안, 내가 한 말 때문에 자살하진 않을 거지?
- 아는 사이야?
- 우리 형 친구야
- 여기 진짜 천국이다
냄새나? 쟤들은 오줌도 향수일 거야
한번 둘러보자","- ¡Samu!
- ¿Qué tal, tío? - 
- ¿Qué tal?
Hola, guapa.
Hostia, perdona, no te vas a inmolar por llamarte guapa, ¿no?
- ¿Os conocéis?
- Es colega de mi hermano.
- Esto es el puto paraíso, chaval.
¿No lo hueles? Esas pivitas mean colonia, tronco, te lo digo yo.
Vamos a dar una vueltecita, ¿no?",엘리트들 / Elites
M-TE-ST-01-0003,3,"- 저것 봐 화성인 보듯 쳐다보네
- 익숙해지도록 해
- 같이 사진이나 찍자 셀카 한 장 남겨줘야지

[사진 찍기] 

- 구경 좀 해보자
- 여기선 휴대폰 못 써
걸리면 일주일간 압수당할 거야
- 그건 헌법에 위배돼
- 헌법을 읽어 봤어? 
- 아니, 영화로 나오겠지","- Joder, nos miran como a marcianos.
- Te acabas acostumbrando.
- Bueno, venga, una fotito, un selfi o algo, ¿no?

[capturación foto]

- Vamos a dar una vuelta.
- Aquí no se puede usar el móvil. 
Si te pillan, te lo confiscan y no lo vuelves a ver en una semana.
- Eso va en contra de la Constitución.
- ¿Tú te has leído la Constitución? 
- Pues no, listo. Estoy esperando a que saquen la película.",엘리트들 / Elites
M-TE-ST-01-0004,4,"- 파티 몇 시야? 
- 무슨 파티?
- 파티 얘기 하지 않았어? 난 크리스티안이야
- [영어로] 그래 안녕! 스페인어 할 줄 아니?

[웃는 소리] 

- 친구들이랑 얘기 중이었어
- 미안
- 근데 인스타그램 해?
- 원하면 내 거 알려줄게
- 그래, 알려줘","- ¿A qué hora es la fiesta? 
- ¿Qué fiesta?
- ¿Alguien ha dicho fiesta? Hola, soy Christian.
- [en inglés] Sí. ¡Hola! ¿Hablas español?

[ríen]

- Estaba hablando con mis amigos.
- Ah, perdona.
- Por cierto, ¿tenéis Instagram?
- Si queréis, os paso el mío.
- Sí. Ay, sí, por favor.",엘리트들 / Elites
M-TE-ST-01-0005,5,"- 크리스티안 누구나 지나칠 때가 있어
학년 말 파티였고...
술도 있겠다
싸움이 걷잡을 수 없게 커질 수도 있지
- 그게 저랑 무슨 상관이죠?
- 전 그런 애 아니에요
부모님이 없는데도 심문할 수 있는 거예요?
- 그냥 질문일 뿐이야 
하지만 네가 협조하지 않으면 서로 데려갈 거다
부모님이랑 변호사도 부르고
그건 어쩌다 다쳤니?
- 문에 부딪혔어요
- 난 왜 네가 거짓말을 하는 것 같을까?","- A ver, Christian, a cualquiera se le puede ir la mano.
Es la fiesta de fin de curso.
Hay alcohol.
Quizá una bronca que se sale de madre.
- ¿Y a mí qué me cuenta?
Yo no soy así.
¿Pueden interrogarme sin mis padres delante?
- Solo son unas preguntas.
Pero si no quieres colaborar, te podemos llevar a comisaría,
con tus padres y un abogado.
¿Esa herida cómo te la has hecho?
- Me pegué contra una puerta.
- ¿Por qué tengo la sensación de que me estás mintiendo?",엘리트들 / Elites
M-TE-ST-01-0006,6,"-내 동생!
동생아!
- 세상에!
- 학교 생활은 잘하고 있어? 
- 응
- 누가 건드리면 말만 해
- 집엔 어떻게 왔어?
- 내가 안 반가워? 
- 반갑지, 출소한 거야?
- 아니, 아직 아냐 맥주나 마시자","- Hermanito.
Hermanito.
- Madre mía.
- Irá bien en Pijolandia, ¿no? 
- Sí.
- Que me lío a tortas con quien haga falta.
- ¿Qué haces aquí, tío? 
- ¿No te hace ni puta gracia verme?
- Sí, pero ¿te han soltado ya? 
- No, sigo allí, no te jode. Una cerveza.",엘리트들 / Elites
M-TE-ST-01-0007,7,"- 이거 어때?
-맘에 드니?
- 엄마
그거 어제도 보여줬잖아요 제 대답은 똑같아요
- 넌 매사에 무관심하지
- 기분 좀 내는 게 그렇게 어려워?
- 널 위해 해주시는 거잖아
- 날 위해서?
- 해 달라고 한 적 없어
- 마리나
우린 네 사교계 데뷔를 축하해 주고 싶은 거야
- 절 남친 찾는 어린 처녀로 소개해서요?
- 마리나, 그만해라
- 뭘요?
이 얘기는 금지예요?
- 전학생들은 어떠니?
- 멍청한 놈이랑 이슬람 원리주의자, 반항아죠
- 웃음거리로는 최고예요 
- 그럼...
걔들 중 한 명을 파티에 초대하는 게 어떠냐?
- 진심이세요?
- 안 될 거 없지","- Oye, ¿y este?
- ¿Te gusta este?
- Mamá...
Ese me lo enseñaste ayer y la respuesta de hoy es la misma.
- Todo te parece mal, Marina.
- ¿Qué te cuesta poner un poquito de buena cara?
- Papá y mamá lo hacen por ti.
- ¿Por mí?
Nadie se lo ha pedido.
- Cariño...
Lo único que queremos es celebrar que eres una mujer y presentarte en sociedad.
- Presentarme como una jovencita virginal que busca novio.
- Marina, por favor.
- ¿Qué?
No vamos a hablar nunca de ello, ¿no?
- ¿Qué tal los chicos nuevos del cole?
- Un tarado, una integrista y uno con el puño en alto.
- Como chiste no tendrían precio. 
- Oye...
¿Y si invitáis a alguno de ellos a la fiesta?
- ¿Es en serio?",엘리트들 / Elites
M-TE-ST-01-0008,8,"- 얼른 나와라! 다음 수업 가야지!
탈의실에 누구 있냐?
뭐 하니?
- 무슨 문제 있어? 
- 아뇨, 왜요?
- 그럼 됐다, 교실로 가
- 고마워
넌 괜찮은 녀석이구나
-  아니, 내가 널 구해줬으니 
보답은 해야지","- Vamos, chicos. A la siguiente clase.
¿Queda alguien en el vestuario?
¿Qué hacéis, chicos?
- ¿Pasa algo? 
- ¿Qué va a pasar?
- Pues venga, a clase.
- Muchas gracias, tío.
-  Eres un colega.
Colega no soy, te acabo de salvar el culo.
Igual me lo puedes compensar.
",엘리트들 / Elites
M-TE-ST-01-0009,9,"- 안녕
저기, 내 파티에 와줄래?
-  고맙지만 난 파티 안 좋아해
- 스카프는 하든 안 하든 상관없어 생각 바뀌면 와줘
- 이건 히잡이야
스카프가 아니라
- 히잡
- 억지로 쓰는 거 아냐
- 좋겠다
난 이 웃기는 데뷔 파티를 억지로 여는 기분이거든
모르겠다
기회를 줘
우리가 다 오빠 같진 않아
8시에 시작해
사무엘이 주소 알아
","- ¿Qué tal?
Oye, me gustaría que vinieras a mi fiesta.
- Gracias, pero no es mi ambiente.
- Puedes venir con el pañuelo o sin él, ven como quieras, ¿vale?
- Se llama ""hiyab"",
no pañuelo.
- Hiyab.
- Y nadie me obliga a llevarlo.
- Pues qué suerte.
- Yo sí siento que me obligan a hacer mi puesta de largo ridícula.
No sé.
Danos una oportunidad. No todos somos como mi hermano.
Es a partir de las ocho.
Samuel tiene la dirección.",엘리트들 / Elites
M-TE-ST-01-0010,10,"- 사무엘 맞지? 
- 네
- 우리 집 벽에다 정확히 뭘 쓰려고 한 거냐?
'도' 다음에 말이다
- '를'요
- '도를 지켜라 즉 자신에게 진실하라'
- 그래? 
- 햄릿의 한 구절이죠
- 물론 햄릿의 한 구절이겠지 영리하구나
- 그런데...
내 생각엔 이걸 쓰려던 것 같아
도둑놈, 개자식...
요즘 언론에서 날 부르는 이름 말이다","- Samuel, ¿verdad? 
- Sí.
- ¿Exactamente qué era lo que queríais poner en la fachada de mi casa?
- L-A-D-R...
- A-N.
- ""Ladran, luego cabalgamos"".
- Ah. 
- Es una cita del Quijote.
- ¿Una cita del Quijote? Muy ingenioso.
- Pero...
A mí me da que queríais poner
""ladrón"", ""hijo de puta"" o algo de eso que me llama la prensa últimamente.
",엘리트들 / Elites
