segmentid,index,ref,KO,SP
S-SS-ST-01-0001,1,A,지금 너 밥먹을거니?,¿Vas a comer ahora?
,,A',,
S-SS-ST-01-0002,2,A,너 지금 무슨 말을 하는거야?,¿Qué dices ahora?
,,A',,
S-SS-ST-01-0003,3,A,자네 지금 바로 출발하려는가?,¿Sales ahora mismo?
,,A',,
S-SS-ST-01-0004,4,A,내가 너한테 술 한잔 못사주랴?,¿Por qué no puedo invitarte?
,,A',,
S-SS-ST-01-0005,5,A,내가 그런걸 알면 천재게?,¿A mí me lo preguntas?
,,A',,¿Soy ingenioso si lo sé?
S-SS-ST-01-0006,6,A,아프다면서 왜 와서 참견이람?,¿Este qué hace aquí si está enfermo?
,,A',,
S-SS-ST-01-0007,7,A,이제 나한테 그만 전화할래?,¿Puedes dejar de llamarme?
,,A',,
S-SS-ST-01-0008,8,A,얼른 텔레비전 그만보고 공부하지 못하겠니?,¿Puedes dejar de ver la tele y estudiar?
,,A',,
S-SS-ST-01-0009,9,A,와이파이 작동하나요?,¿Funciona el wifi?
,,A',,
S-SS-ST-01-0010,10,A,너 이 맥주가 좋아 아니면 이게 좋아?,¿Prefieres esta cerveza o esta otra?
,,A',,
S-SS-ST-01-0011,11,A,Eloy가 너한테 전화 했어 안했어?,¿Te ha llamado Eloy o no?
,,A',,
S-SS-ST-01-0012,12,A,표가 다 팔렸대. 이해했어?,Se han agotado todos los billetes. ¿Entiendes?
,,A',,
S-SS-ST-01-0013,13,A,한시간 내로 우리 출발하자. 알겠지?,"Dentro de una hora salimos, ¿vale?"
,,A',,
S-SS-ST-01-0014,14,A,아니 그에게 대답을 어떻게 안할 수 있어?,¿Cómo es que no le contestaste?
,,A',,
S-SS-ST-01-0015,15,A,후안이 독일에서 일하는게 확실하지 않은건가요?,¿No es cierto que Juan trabaja en Alemania?
,,A',,
S-SS-ST-01-0016,16,A,아 나 뭐하려 그랬지?,¿Qué iba a hacer yo?
,,A',,
S-SS-ST-01-0017,17,A,어디 한번 말해봐라.,Entonces dime lo que quieras.
,,A',,
S-SS-ST-01-0018,18,A,그러면 네가 어디 그 애에게 한번 전화를 해보려무나.,Entonces intenta llamarle.
,,A',,
S-SS-ST-01-0019,19,A,부패 세력은 물러가라.,"¡Fuera corruptos, vete ya!"
,,A',,
S-SS-ST-01-0020,20,A,자유가 아니면 죽음을 달라.,Dadme la libertad o dadme la muerte.
,,A',,
S-SS-ST-01-0021,21,A,얼른 신분증을 가지고 오라고 한다.,Dice que lleve rápido la tarjeta de identificación.
,,A',,
S-SS-ST-01-0022,22,A,교수님은 자기가 말한대로 하라고 한다.,El profesor dice que lo haga como me ha dicho.
,,A',,
S-SS-ST-01-0023,23,A,자리에 앉아주세요.,"Tome asiento, por favor. "
,,A',,
S-SS-ST-01-0024,24,A,나한테 그런말 하지마!,¡No me lo digas!
,,A',,
S-SS-ST-01-0025,25,A,다음 문단을 봅시다.,Véase el párrafo siguiente.
,,A',,
S-SS-ST-01-0026,26,A,너희들 조용히해.,Silencio. Callaos.
,,A',,
S-SS-ST-01-0027,27,A,그렇게 말하지는 맙시다.,No se dice por tanto.
,,A',,
S-SS-ST-01-0028,28,A,누가 오는지 한번 보렴.,Mira quién ha venido.
,,A',,
S-SS-ST-01-0029,29,A,지금 당장 말 안하면 너를 죽여버릴거야.,¡Habla ahora mismo o te mato!
,,A',,
S-SS-ST-01-0030,30,A,용감해지세요.,Sé valiente.
,,A',,
S-SS-ST-01-0031,31,A,누가 나 좀 도와줘!,¡Que alguien me ayude!
,,A',,
S-SS-ST-01-0032,32,A,당신 잘 지내길요.,Que usted lo pase bien.
,,A',,
S-SS-ST-01-0033,33,A,어서 가자. 10분 남았어.,Vamos rápido. Nos quedan 10 minutos.
,,A',,
S-SS-ST-01-0034,34,A,조용히 좀 합시다.,"Tranquila, por favor. "
,,A',,Vamos a tranquilizarnos.
S-SS-ST-01-0035,35,A,길에서 담배를 피지 말자.,No fumamos en la calle.
,,A',,
S-SS-ST-01-0036,36,A,우리 껴안읍시다.,Abracémonos
,,A',,
S-SS-ST-01-0037,37,A,우리 화내지 말자.,¡No nos enfademos!
,,A',,
S-SS-ST-01-0038,38,A,아이고 똑똑해라!,¡Qué inteligente!
,,A',,
S-SS-ST-01-0039,39,A,네가 벌써 대학에 입학하는구나!,¡Ya entras a la universidad!
,,A',,
S-SS-ST-01-0040,40,A,그 차 진짜 빠르다!,¡Qué rápido es ese coche!
,,A',,
S-SS-ST-01-0041,41,A,네 여자친구 진짜 예쁘구나!,¡Qué bonita tu novia!
,,A',,
S-SS-ST-01-0042,42,A,사람 진짜 많다!,¡Cuánta gente!
,,A',,
S-SS-ST-01-0043,43,A,진짜 덥다!,¡Qué calor!
,,A',,
S-SS-ST-01-0044,44,A,너무 비싸네!,¡Demasiado caro!
,,A',,¡Qué caro!
S-SS-ST-01-0045,45,A,잘했어!,¡Bien hecho!
,,A',,
S-SS-ST-01-0046,46,A,아 스트레스 받아!,¡Cuánto estrés!
,,A',,
S-SS-ST-01-0047,47,A,얼마나 큰 고통인지!,¡Cuánto sufrir!
,,A',,
S-SS-ST-01-0048,48,A,얼마나 그가 그 빠에야를 좋아하는지!,¡Cómo le gusta la paella!
,,A',,
S-SS-ST-01-0049,49,A,이 사람이 어떻게 사는지!,¡Cómo vive esta persona!
,,A',,
S-SS-ST-01-0050,50,A,내가 얼마나 많이 그 소식을 들었는지!,¡Cuánto he escuchado esa noticia!
,,A',,
S-SS-ST-01-0051,51,A,우리가 얼마나 조금 웃었는데!,¡Poco que nos reímos!
,,A',,¡Pues no nos reímos!
S-SS-ST-01-0052,52,A,네가 얼마나 잘먹는지!,¡Bien que te lo comes!
,,A',,
S-SS-ST-01-0053,53,A,토요일의 콘서트는 정말 굉장했어!,¡Magnífico el concerto del sábado!
,,A',,¡Fantástico el concerto del sábado!
S-SS-ST-02-0054,54,A,생존자가 발견되지 않았습니다.,No fueron encontrados supervivientes.
,,A',,
S-SS-ST-02-0055,55,A,이 책은 스페인에서 후안에 의해 쓰여졌어요.,Este libro fue escrito por Juan en España.
,,A',,
S-SS-ST-02-0056,56,A,모두에게 선택받기를 기다리세요.,Espera seguir siendo elegido por todos.
,,A',,
S-SS-ST-02-0057,57,A,이는 좋은 행운의 상징이라고 여겨지기 시작했습니다.,Empezó a ser considerado como un signo de buena suerte.
,,A',,Fue empezado a ser considerado como un signo de buena suerte.
S-SS-ST-02-0058,58,A,그 제안서는 신중하게 검토되었습니다.,Los presupuestos fueron revisados cuidadosamente.
,,A',,
S-SS-ST-02-0059,59,A,이 논문은 공들여 수정되었습니다.,La tesis fue corregida a conciencia.
,,A',,
